gene_id	rank_value
AT2G42540	40.3779576687072
AT1G13930	37.921363429871
AT4G23600	36.268155487008
AT2G40840	35.5964638983057
AT3G44990	34.3782250943566
AT5G02810	34.146049720062
AT4G30660	33.1537211159901
AT2G43010	33.0053121894197
AT1G78680	32.9623668917499
AT1G28610	32.523596454127
AT4G17340	32.373082075542
AT3G05030	31.3410366081228
AT1G72930	30.1925784417873
AT3G25770	29.7203364861649
AT3G46970	29.3329858340636
AT2G43020	29.2242113326424
AT1G33970	29.1595394439994
AT2G39800	29.0348634518916
AT2G46170	28.8663575071798
AT5G59130	28.7001021950675
AT1G52400	28.0800797344733
AT1G10657	27.4101290952974
AT2G28720	27.1951266858666
AT1G70820	26.1443998675044
AT1G13650	26.0807974048414
AT1G71030	26.0733902342174
AT5G50950	26.0344904772484
AT3G29320	25.4724807433702
AT3G03780	25.3129243024954
AT5G47240	24.8946693616361
AT1G01500	24.2541736796578
AT3G52180	24.2518458752959
AT3G18080	24.1641276646455
AT5G48880	23.8763910979782
AT1G74640	23.1103192297335
AT5G40500	23.1075466415204
AT2G36870	23.0781825153932
AT2G39130	22.6656972781002
AT2G42530	22.4622473994519
AT4G21215	22.2515230853665
AT2G43535	22.2116757549025
AT1G18360	21.9732981701991
AT4G08870	21.9162896007889
AT4G27440	21.6998168757997
AT5G20150	21.6455588374242
AT2G28840	21.5344044073661
AT4G30650	21.503473905457
AT4G27310	21.4779597871368
AT4G17770	21.3070186586919
AT5G52310	21.1955738104677
AT5G28030	21.1748365606343
AT2G21380	21.1638554814304
AT2G23840	21.1535833658935
AT2G46670	21.0336847476678
AT1G19570	20.9698304145473
AT2G44940	20.9393889759044
AT2G40435	20.9100494650422
AT4G27820	20.8187701719387
AT1G66700	20.4904102036467
AT4G16590	20.4833064069944
AT4G39210	20.3459086512975
AT3G53830	20.2643134898601
AT1G18150	20.1831091542761
AT2G46650	20.1360643888298
AT3G14620	19.9549456762745
AT2G39920	19.9521662726082
AT5G24155	19.7422387952063
AT2G15970	19.682762915495
AT5G20190	19.6665311709429
AT4G18390	19.6366685737631
AT2G45560	19.6226004193944
AT4G34950	19.6170332818733
AT1G08650	19.5862899317895
AT4G09020	19.4684298890702
AT2G31360	19.4480354282998
AT1G20030	19.4328753968148
AT3G07390	19.3989419842171
AT2G22540	19.3914368431328
AT5G08030	19.327965941432
AT3G62750	19.3220837508896
AT1G78600	18.9788795884016
AT4G26530	18.9774052104666
AT4G33110	18.9689091831183
AT2G16600	18.9417224917504
AT5G67390	18.8753069573365
AT1G01300	18.8350287869994
AT3G58990	18.7756847067445
AT4G15920	18.5990268509245
AT1G23080	18.517343057323
AT1G48330	18.4668124503
AT3G14200	18.4127708957218
AT4G39730	18.4080120075678
AT5G44420	18.4077826667638
AT2G20750	18.4029918016918
AT3G05640	18.3621207697038
AT1G22070	18.2330563748035
AT4G21960	18.2098221138193
AT3G26740	18.2085467061621
AT5G48900	18.1447637276055
AT3G46370	18.1294350017239
AT1G20450	18.0810351366764
AT2G39900	18.000301308899
AT4G39980	17.9279711359415
AT4G21910	17.6860943278669
AT5G64170	17.6792563798131
AT3G06500	17.6342676445149
AT5G61270	17.587663182182
AT4G19120	17.5528277033651
AT3G63200	17.520852275921
AT1G04250	17.4521419913508
AT1G65840	17.398113465465
AT1G21590	17.3959131520388
AT4G12900	17.3409855783326
AT1G45191	17.2727646836328
AT4G27830	17.1621699392079
AT3G62550	17.0202552521919
AT3G27570	16.9684224650704
AT1G10900	16.9618204980308
AT1G79460	16.8892017613443
AT5G63780	16.8819648566078
AT5G64640	16.8648203442922
AT3G02870	16.8141556055495
AT1G78070	16.8120930281416
AT1G03310	16.744631869671
AT3G01310	16.7377078260398
AT4G12030	16.6869941669036
AT5G02180	16.6134392569696
AT2G46790	16.5405791215097
AT3G53800	16.5010113771245
AT1G02270	16.4984219976291
AT3G55760	16.4513329566421
AT2G30860	16.360744396693
AT3G02230	16.3355312715395
AT4G21760	16.311227508762
AT3G54890	16.2904054619365
AT1G14250	16.2660590017797
AT4G37180	16.2447581586937
AT5G38480	16.236764546224
AT4G01480	16.1701531166934
AT1G14580	16.1530260477607
AT1G75370	16.1415177648357
AT1G13360	16.1284585373245
AT5G55960	16.1243058194243
AT3G52740	16.1013026539563
AT5G62350	16.0891446369544
AT4G11600	16.0435128662798
AT4G36010	16.037292296585
AT2G20570	16.0224096174253
AT1G18330	16.0207689806738
AT5G11610	16.0101201928386
AT5G08570	15.9939726137091
AT4G26510	15.9154816858069
AT3G60520	15.8654022811875
AT1G73480	15.8114295371487
AT3G18440	15.7315868491582
AT5G61810	15.701301586208
AT1G73600	15.698244615079
AT5G41600	15.6739656578154
AT3G28370	15.5196125147083
AT1G75040	15.4472165764256
AT3G22200	15.4458329224974
AT5G44575	15.4394538070896
AT2G37640	15.4337327432628
AT1G64900	15.4334507013939
AT5G43440	15.4077825867539
AT4G26080	15.3843458249535
AT1G75580	15.25577832373
AT2G29650	15.231232367426
AT3G22370	15.203062922436
AT4G09760	15.2029155569378
AT4G30960	15.1922393654153
AT1G54575	15.175073963721
AT1G04690	15.1164029067225
AT1G43670	15.1046773871893
AT5G36160	15.0747299532676
AT5G64180	15.0391471650353
AT2G46370	14.9340380849129
AT1G19550	14.8697267294784
AT1G63010	14.7973410618452
AT3G17640	14.795923219723
AT5G59540	14.790580192259
AT1G54100	14.7680765779457
AT5G60840	14.734235177337
AT3G50760	14.7210062219135
AT5G43150	14.7205337536368
AT5G45750	14.7154872783758
AT5G18760	14.6997591137115
AT4G18930	14.5702435942423
AT5G11670	14.5631822047253
AT3G18500	14.5586263446823
AT5G66400	14.5569103242158
AT3G45600	14.5476300828414
AT4G14230	14.5178936871655
AT5G65090	14.4203878210597
AT5G57180	14.4190421714973
AT1G68600	14.2804032429264
AT5G65310	14.2691673239002
AT3G12490	14.2673147194335
AT4G33625	14.2512898203439
AT3G21330	14.2199820802446
AT3G61880	14.1946120594531
AT1G76180	14.1798852363636
AT1G24148	14.1789459952656
AT1G20620	14.105832968801
AT1G64390	14.0958068881612
AT1G11840	14.0771079831009
AT4G39260	14.0769313122656
AT1G63830	14.06447182638
AT1G11070	13.9953707480166
AT1G58280	13.9691496399852
AT2G22080	13.9285383522047
AT1G02820	13.9097103050368
AT1G17970	13.8943581596971
AT3G47470	13.8508330219103
AT3G02860	13.784457648839
AT3G16690	13.7809664447056
AT5G23010	13.7724016866961
AT4G13800	13.7230023508621
AT2G22430	13.6990218830468
AT1G02205	13.696542249299
AT5G57887	13.6590420003046
AT5G66880	13.595982839186
AT5G53420	13.5881786844654
AT3G08640	13.5844841541248
AT4G04210	13.5844374339974
AT2G42200	13.5578539101529
AT5G44720	13.5487476741662
AT4G27700	13.5482884156575
AT1G03430	13.5013313387131
AT3G06550	13.5001186139727
AT5G09810	13.4859685855343
AT1G62560	13.4757325475931
